time,veh_id,x,y,role
200.0,145,124.50,600.00,Forwarder
200.0,146,116.00,500.00,Forwarder
200.0,147,200.00,447.75,Forwarder
200.0,148,0.00,376.25,Forwarder
200.0,150,0.00,134.25,Forwarder
200.0,151,112.00,600.00,Forwarder
200.0,152,513.00,600.00,SForwarder
200.0,153,209.25,400.00,Forwarder
200.0,154,200.00,243.75,Forwarder
200.0,157,0.00,211.75,Forwarder
200.0,158,0.00,331.75,Forwarder
200.0,160,425.75,400.00,Receiver
200.0,161,0.00,437.00,Forwarder
200.0,162,0.00,373.50,Forwarder
200.0,163,100.00,620.50,Forwarder
200.0,164,100.00,517.50,Forwarder
200.0,165,400.00,322.00,Forwarder
200.0,166,207.00,600.00,Receiver
200.0,167,257.75,200.00,Receiver
200.0,168,500.00,530.50,Receiver
200.0,169,200.00,538.25,Forwarder
200.0,170,200.00,198.25,SCH
200.0,172,9.00,300.00,Forwarder
200.0,173,193.25,300.00,Forwarder
200.0,175,100.00,508.50,Forwarder
200.0,176,193.00,100.00,Forwarder
200.0,178,500.00,244.25,Receiver
200.0,179,58.00,500.00,Forwarder
200.0,180,277.75,200.00,Receiver
200.0,181,200.00,329.50,Forwarder
200.0,182,200.00,345.75,SForwarder
200.0,184,0.00,302.50,CH
200.0,185,219.75,600.00,Forwarder
200.0,187,600.00,38.00,Receiver
200.0,188,200.00,545.50,Forwarder
200.0,189,0.00,161.25,Forwarder
200.0,190,0.00,497.25,Forwarder
200.0,191,0.00,264.25,Forwarder
200.0,192,700.00,109.00,Forwarder
200.0,194,200.00,42.25,Forwarder
200.0,195,406.25,400.00,Receiver
200.0,196,320.00,400.00,Receiver
200.0,198,200.00,34.50,Forwarder
200.0,199,435.50,100.00,Receiver
200.0,200,400.00,382.50,Receiver
200.0,201,400.00,277.00,CH
200.0,203,138.00,600.00,Forwarder
200.0,206,400.00,187.75,Receiver
200.0,207,400.00,233.00,Receiver
200.0,208,208.75,200.00,Forwarder
200.0,210,400.00,214.50,Receiver
200.0,212,400.00,309.25,SCH
200.0,213,352.75,400.00,Receiver
200.0,215,338.25,200.00,Receiver
200.0,216,0.00,454.75,Forwarder
200.0,217,674.25,100.00,Forwarder
200.0,218,0.00,368.50,Forwarder
200.0,219,0.00,486.50,Forwarder
200.0,221,637.50,100.00,Forwarder
200.0,222,100.00,596.50,Forwarder
200.0,223,600.00,332.25,Receiver
200.0,224,0.00,370.75,Forwarder
200.0,225,200.00,256.25,Forwarder
200.0,227,0.00,360.50,Forwarder
200.0,228,497.25,400.00,Forwarder
200.0,229,200.00,367.50,Forwarder
200.0,230,128.00,500.00,Forwarder
200.0,231,279.00,200.00,Forwarder
200.0,232,100.00,569.75,CH
200.0,233,200.00,196.50,Forwarder
200.0,234,200.00,232.00,Forwarder
200.0,235,147.75,0.00,Receiver
200.0,237,349.25,200.00,Receiver
200.0,238,490.75,400.00,Receiver
200.0,240,200.00,75.50,Forwarder
200.0,241,102.75,500.00,SCH
200.0,242,200.00,526.00,Forwarder
200.0,244,200.00,519.50,Forwarder
200.0,245,0.00,387.00,Forwarder
200.0,246,0.00,175.00,Forwarder
200.0,247,300.00,437.50,Receiver
200.0,248,192.50,500.00,Forwarder
200.0,249,100.00,578.00,CH
200.0,250,700.00,133.50,Forwarder
200.0,251,200.00,440.25,Forwarder
200.0,252,300.00,458.75,SForwarder
200.0,253,230.00,600.00,Forwarder
200.0,254,198.00,600.00,Forwarder
200.0,256,0.00,424.75,Forwarder
200.0,257,0.00,463.50,Forwarder
200.0,258,479.50,400.00,Forwarder
200.0,260,437.50,400.00,Receiver
200.0,264,700.00,99.50,CH
200.0,265,366.00,400.00,Receiver
200.0,266,0.00,282.00,Forwarder
200.0,267,168.25,300.00,Forwarder
200.0,269,538.00,400.00,SForwarder
200.0,270,538.00,300.00,Receiver
200.0,272,200.00,97.00,Forwarder
200.0,275,700.00,159.25,Receiver
200.0,279,436.75,700.00,Receiver
200.0,280,200.00,378.50,Forwarder
200.0,281,200.00,343.25,Forwarder
200.0,283,240.25,600.00,Receiver
200.0,284,0.00,303.25,Forwarder
200.0,285,100.00,608.50,Forwarder
200.0,286,200.00,474.50,Forwarder
200.0,288,124.00,300.00,Forwarder
200.0,290,437.00,200.00,Receiver
200.0,291,200.00,58.75,CH
200.0,292,100.00,52.75,SForwarder
200.0,293,46.75,400.00,Receiver
200.0,297,59.75,400.00,Forwarder
200.0,298,509.75,400.00,CH
200.0,299,200.00,161.00,Forwarder
200.0,300,200.00,419.00,Forwarder
200.0,301,700.00,120.25,Forwarder
200.0,302,0.00,186.50,Forwarder
200.0,304,252.00,600.00,Forwarder
200.0,306,400.00,344.25,Receiver
200.0,308,274.00,600.00,Receiver
200.0,309,406.50,200.00,Receiver
200.0,311,500.00,516.00,CH
200.0,312,222.25,400.00,SCH
200.0,313,300.00,187.75,Forwarder
200.0,314,100.00,629.75,Forwarder
200.0,315,0.00,147.75,Forwarder
200.0,316,0.00,296.00,Forwarder
200.0,317,300.00,470.75,Receiver
200.0,319,246.75,400.00,Forwarder
200.0,320,200.00,355.25,SForwarder
200.0,321,700.00,147.00,Forwarder
200.0,323,456.75,400.00,CH
200.0,324,79.75,500.00,Forwarder
200.0,326,138.75,500.00,Forwarder
200.0,327,377.75,400.00,Receiver
200.0,328,400.00,333.75,Receiver
200.0,330,400.00,412.75,Receiver
200.0,333,169.25,500.00,Forwarder
200.0,334,0.00,122.00,Forwarder
200.0,335,100.00,662.50,Forwarder
200.0,336,614.00,0.00,Receiver
200.0,337,0.00,399.25,Forwarder
200.0,338,232.50,0.00,Receiver
200.0,339,200.00,64.50,Receiver
200.0,340,446.25,400.00,Receiver
200.0,341,267.75,200.00,Forwarder
200.0,343,500.00,450.75,Receiver
200.0,344,534.25,0.00,Receiver
200.0,345,100.00,554.50,Forwarder
200.0,346,0.00,414.25,Forwarder
200.0,347,200.00,499.75,Forwarder
200.0,349,200.00,50.50,Receiver
200.0,350,500.00,409.75,CH
200.0,351,10.75,400.00,Forwarder
200.0,352,400.00,355.25,SCH
200.0,353,100.00,547.50,Forwarder
200.0,354,159.50,300.00,Forwarder
200.0,355,623.50,100.00,Receiver
200.0,357,296.50,400.00,Receiver
200.0,358,200.00,426.25,Forwarder
200.0,359,0.00,230.50,Forwarder
200.0,360,613.25,600.00,Receiver
200.0,361,200.00,183.50,Forwarder
200.0,362,300.00,411.25,SForwarder
200.0,363,100.00,589.00,Forwarder
200.0,366,200.00,468.25,Forwarder
200.0,367,236.00,400.00,Receiver
200.0,368,0.00,269.75,Forwarder
200.0,369,180.25,300.00,CH
200.0,370,186.25,600.00,Receiver
200.0,371,100.00,653.75,Forwarder
200.0,372,0.00,351.25,SCH
200.0,374,400.00,374.25,Receiver
200.0,375,161.75,100.00,Forwarder
200.0,376,263.00,600.00,Forwarder
200.0,377,200.00,81.25,Receiver
200.0,378,181.00,500.00,Forwarder
200.0,379,200.00,505.25,Forwarder
200.0,380,196.75,400.00,Forwarder
200.0,381,579.75,100.00,Forwarder
200.0,382,179.25,0.00,SCH
200.0,383,330.75,400.00,Receiver
200.0,384,0.00,325.00,Forwarder
200.0,385,532.00,500.00,Receiver
200.0,386,200.00,199.00,Receiver
200.0,387,200.00,296.50,Forwarder
200.0,388,280.75,200.00,Receiver
200.0,389,0.00,316.50,Forwarder
200.0,391,285.25,400.00,Forwarder
200.0,393,518.00,500.00,Receiver
200.0,394,200.00,269.75,Forwarder
200.0,395,262.75,700.00,Receiver
200.0,396,200.00,420.00,Forwarder
200.0,397,109.25,300.00,Forwarder
200.0,400,200.00,172.00,Forwarder
